"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"64","2000","5","Karnataka","Bangalore","29.4","76.0","2585.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","22.0","3235.29","195.8","416.0","2124.62","0.0","0.0","0.0","0.0","0.0","0.0","5.6","3.0","535.71","43.7","16.0","366.13","19.3","18.0","932.64","2.4","1.0","416.67","2.4","1.0","416.67","0.0","0.0","0.0","4.3","7.0","1627.91","0.0","0.0","0.0","0.2","0.0","0.0","0.01","0.02","2000.0","32.4","28.0","864.2","1.6","16.5","10312.5","0.0","0.0","0.0","19.82","9.45","29.26","2.06","0.17","7.66"
"64","2001","5","Karnataka","Bangalore","19.66","47.12","2396.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.04","27.42","3894.89","194.89","396.67","2035.35","0.0","0.0","0.0","0.01","0.01","1000.0","5.05","2.97","588.12","11.06","4.69","424.05","12.53","14.26","1138.07","2.73","1.01","369.96","2.54","0.82","322.83","0.0","0.0","0.0","3.4","5.31","1561.76","0.0","0.0","0.0","0.1","0.08","800.0","0.0","0.0","0.0","24.52","22.27","908.24","1.66","13.38","8060.24","0.0","0.0","0.0","29.85","10.86","40.71","1.72","0.21","8.48"
"64","2002","5","Karnataka","Bangalore","9.05","20.32","2245.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.5","17.41","3165.45","138.52","134.31","969.61","0.0","0.0","0.0","0.01","0.0","0.0","3.46","1.43","413.29","31.27","13.63","435.88","10.87","10.37","954.0","0.15","0.05","333.33","1.39","0.45","323.74","0.0","0.0","0.0","1.93","4.64","2404.15","0.0","0.0","0.0","0.03","0.03","1000.0","0.0","0.0","0.0","16.21","16.0","987.05","2.05","18.82","9180.49","0.0","0.0","0.0","31.52","9.54","41.06","1.15","0.1","7.67"
"64","2003","5","Karnataka","Bangalore","9.22","23.32","2529.28","0.0","0.0","0.0","0.25","0.27","1080.0","0.0","0.0","0.0","0.25","0.27","1080.0","0.0","0.0","0.0","7.85","34.72","4422.93","177.09","328.74","1856.34","0.0","0.0","0.0","0.08","0.03","375.0","5.41","2.16","399.26","32.15","13.59","422.71","11.46","10.2","890.05","0.4","0.2","500.0","2.24","0.73","325.89","0.0","0.0","0.0","2.45","7.17","2926.53","0.0","0.0","0.0","0.54","0.32","592.59","0.0","0.0","0.0","19.37","19.18","990.19","0.6","4.0","6666.67","0.0","0.0","0.0","32.51","10.67","43.19","1.72","0.1","8.41"
"64","2004","5","Karnataka","Bangalore","12.87","39.16","3042.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.58","27.34","3186.48","175.01","459.98","2628.31","0.0","0.0","0.0","0.17","0.08","470.59","6.34","4.79","755.52","31.39","13.29","423.38","17.31","23.25","1343.15","1.6","0.87","543.75","2.06","0.67","325.24","0.0","0.0","0.0","2.03","3.04","1497.54","0.0","0.0","0.0","0.68","0.47","691.18","0.0","0.0","0.0","25.97","28.84","1110.51","1.69","15.39","9106.51","0.0","0.0","0.0","33.88","10.52","44.39","1.86","0.14","7.43"
"64","2005","5","Karnataka","Bangalore","15.36","38.45","2503.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.03","0.02","666.67","10.28","43.63","4244.16","175.65","376.98","2146.2","0.0","0.0","0.0","0.1","0.06","600.0","5.41","4.01","741.22","28.06","10.29","366.71","14.87","11.08","745.12","3.22","2.79","866.46","2.16","0.7","324.07","0.0","0.0","0.0","2.65","7.93","2992.45","0.0","0.0","0.0","0.5","0.39","780.0","0.0","0.0","0.0","26.01","23.53","904.65","0.33","2.92","8848.48","0.0","0.0","0.0","32.78","11.51","44.29","1.86","0.18","6.59"
"64","2006","5","Karnataka","Bangalore","9.93","20.77","2091.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.0","7.98","27.73","3474.94","113.3","126.15","1113.42","0.0","0.0","0.0","0.02","0.02","1000.0","4.75","1.98","416.84","21.51","23.15","1076.24","8.09","4.18","516.69","1.31","0.66","503.82","1.55","0.51","329.03","0.0","0.0","0.0","1.82","3.19","1752.75","0.0","0.0","0.0","0.21","0.14","666.67","0.0","0.0","0.0","14.72","9.11","618.89","1.77","17.16","9694.92","0.0","0.0","0.0","31.17","9.91","41.09","2.1","0.09","7.06"
"64","2007","5","Karnataka","Bangalore","10.22","29.47","2883.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.19","55.05","4919.57","150.65","346.11","2297.44","0.0","0.0","0.0","0.11","0.07","636.36","5.55","4.61","830.63","26.56","26.25","988.33","8.65","6.54","756.07","1.77","0.17","96.05","1.65","0.69","418.18","0.0","0.0","0.0","2.27","3.93","1731.28","0.0","0.0","0.0","0.3","0.2","666.67","0.0","0.0","0.0","16.95","12.38","730.38","1.46","1.57","1075.34","0.0","0.0","0.0","32.46","10.53","42.99","1.68","0.09","7.92"
"64","2008","5","Karnataka","Bangalore","10.96","33.59","3064.78","0.02","0.03","1500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.26","57.88","4365.01","147.51","301.26","2042.3","0.0","0.0","0.0","0.08","0.04","500.0","5.8","4.21","725.86","26.69","20.36","762.83","8.66","4.73","546.19","2.2","0.85","386.36","1.88","0.82","436.17","0.0","0.0","0.0","2.38","4.13","1735.29","0.0","0.0","0.0","0.53","0.35","660.38","0.0","0.0","0.0","18.06","11.66","645.63","1.19","9.43","7924.37","0.0","0.0","0.0","35.23","9.53","44.74","1.47","0.16","6.09"
"64","2009","5","Karnataka","Bangalore","12.02","37.23","3097.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.59","59.83","4402.5","142.62","286.05","2005.68","0.0","0.0","0.0","0.14","0.09","642.86","5.54","4.06","732.85","26.94","18.3","679.29","8.2","5.83","710.98","2.14","1.39","649.53","2.45","0.69","281.63","0.0","0.0","0.0","2.43","2.41","991.77","0.0","0.0","0.0","0.28","0.17","607.14","0.0","0.0","0.0","19.96","11.99","600.7","1.09","8.77","8045.87","0.0","0.0","0.0","36.97","9.91","46.88","1.33","0.18","5.93"
