District,Year,Month,Temperature_C,Rainfall_mm,Humidity_percent,Solar_Radiation
Bagalkot,2010,1,23.5,12.5,68,18.5
Bagalkot,2010,6,28.2,185.3,82,16.2
Bagalkot,2010,12,22.1,8.2,65,17.8
Ballari,2010,1,24.5,8.5,62,19.2
Ballari,2010,6,27.5,95.2,78,17.1
Ballari,2010,12,23.2,15.3,64,18.5
Belagavi,2010,1,25.2,10.2,64,19.0
Belagavi,2010,6,27.8,105.8,80,16.8
Belagavi,2010,12,23.5,18.5,66,18.2
Bengaluru Rural,2010,1,22.5,15.2,70,18.0
Bengaluru Rural,2010,6,29.5,125.5,75,15.8
Bengaluru Rural,2010,12,21.8,12.8,68,17.5
Bengaluru Urban,2010,1,26.8,5.2,58,20.5
Bengaluru Urban,2010,6,32.5,65.5,68,18.5
Bengaluru Urban,2010,12,25.2,8.5,60,19.8
Bidar,2010,1,24.2,35.5,78,17.5
Bidar,2010,6,26.5,285.8,88,15.2
Bidar,2010,12,23.8,52.3,75,16.8
Chamarajanagara,2010,1,24.5,22.5,72,18.2
Chamarajanagara,2010,6,27.2,165.5,85,15.8
Chamarajanagara,2010,12,23.5,35.8,70,17.5
Chikkaballapur,2010,1,25.5,8.5,60,19.5
Chikkaballapur,2010,6,28.8,75.2,72,17.2
Chikkaballapur,2010,12,24.2,12.5,62,18.8
Chikkamagaluru,2010,1,26.2,6.5,58,20.0
Chikkamagaluru,2010,6,30.5,55.5,68,18.0
Chikkamagaluru,2010,12,24.8,9.2,60,19.2
Chitradurga,2010,1,24.5,10.5,65,18.8
Chitradurga,2010,6,31.2,85.8,70,17.5
Chitradurga,2010,12,23.2,8.8,66,18.5
Dakshina Kannada,2010,1,25.0,20.5,85,18.8
Dakshina Kannada,2010,6,28.5,350.8,92,16.5
Dakshina Kannada,2010,12,24.2,35.8,80,18.5
Davanagere,2010,1,24.5,12.5,65,18.8
Davanagere,2010,6,31.2,105.8,75,17.5
Davanagere,2010,12,23.2,18.8,68,18.5
Dharwad,2010,1,23.5,15.2,70,18.0
Dharwad,2010,6,29.5,115.5,78,16.8
Dharwad,2010,12,22.8,12.8,68,17.5
Gadag,2010,1,25.8,5.2,58,20.5
Gadag,2010,6,32.5,65.5,68,18.5
Gadag,2010,12,24.2,8.5,60,19.8
Hassan,2010,1,24.2,35.5,78,17.5
Hassan,2010,6,26.5,225.8,88,15.2
Hassan,2010,12,23.8,52.3,75,16.8
Haveri,2010,1,24.5,22.5,72,18.2
Haveri,2010,6,27.2,145.5,85,15.8
Haveri,2010,12,23.5,35.8,70,17.5
Kalaburagi,2010,1,26.5,8.5,60,19.5
Kalaburagi,2010,6,33.8,75.2,65,17.2
Kalaburagi,2010,12,25.2,12.5,62,18.8
Kodagu,2010,1,21.2,45.5,80,18.0
Kodagu,2010,6,24.5,455.5,95,15.0
Kodagu,2010,12,20.8,65.2,85,17.2
Kolar,2010,1,24.5,15.5,65,18.8
Kolar,2010,6,29.2,85.8,75,17.5
Kolar,2010,12,23.2,18.8,68,18.5
Koppal,2010,1,25.8,8.5,60,19.5
Koppal,2010,6,31.8,65.2,65,17.2
Koppal,2010,12,24.2,12.5,62,18.8
Mandya,2010,1,25.2,10.2,64,19.0
Mandya,2010,6,27.8,105.8,80,16.8
Mandya,2010,12,23.5,18.5,66,18.2
Mysuru,2010,1,24.8,8.5,62,19.2
Mysuru,2010,6,27.5,95.2,78,17.1
Mysuru,2010,12,23.2,15.3,64,18.5
Raichur,2010,1,26.8,5.2,58,20.5
Raichur,2010,6,32.5,65.5,68,18.5
Raichur,2010,12,25.2,8.5,60,19.8
Ramanagara,2010,1,25.5,12.5,65,18.8
Ramanagara,2010,6,28.2,115.8,75,17.5
Ramanagara,2010,12,24.2,18.8,68,18.5
Shivamogga,2010,1,24.2,35.5,78,17.5
Shivamogga,2010,6,26.5,285.8,88,15.2
Shivamogga,2010,12,23.8,52.3,75,16.8
Tumakuru,2010,1,25.5,8.5,60,19.5
Tumakuru,2010,6,28.8,75.2,72,17.2
Tumakuru,2010,12,24.2,12.5,62,18.8
Udupi,2010,1,25.5,25.5,85,18.8
Udupi,2010,6,28.2,380.8,95,16.5
Udupi,2010,12,24.8,45.8,82,18.5
Uttara Kannada,2010,1,24.5,22.5,82,18.2
Uttara Kannada,2010,6,27.5,310.5,90,16.0
Uttara Kannada,2010,12,23.8,38.2,80,18.0
Vijayanagara,2010,1,25.8,10.2,60,19.5
Vijayanagara,2010,6,31.8,75.2,68,17.2
Vijayanagara,2010,12,24.2,15.5,62,18.8
Vijayapura,2010,1,26.5,8.5,58,20.0
Vijayapura,2010,6,33.5,65.5,65,18.0
Vijayapura,2010,12,25.2,12.5,60,19.2
Yadgir,2010,1,26.8,7.5,58,20.2
Yadgir,2010,6,34.2,60.5,65,18.5
Yadgir,2010,12,25.5,10.5,60,19.5
