Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Rainfall,Crop
118,59,42,29.789267873576293,82.34027960663654,6.155994520336202,184.64668897345595,Rice
103,43,42,30.664580622368362,80.30876741443704,6.969909852161995,246.59541126403374,Rice
117,41,39,29.939852077021733,89.1747974073242,6.007066305219717,181.84499400331327,Rice
106,49,37,28.059695930137302,94.74846328710183,6.46676289324798,248.79523253890565,Rice
86,48,41,25.106119689278934,94.13302633527279,6.563288217845539,210.8333202031933,Rice
105,41,38,26.928203728208093,90.24895278238188,6.609996657782621,246.65559293889316,Rice
114,53,35,27.070239852800135,89.93783426530973,6.311711076089411,221.60544169422485,Rice
83,57,44,28.598033066958124,85.92725354002721,6.926658865793794,238.18175966851368,Rice
94,47,41,29.16667408020659,94.41758036524024,6.844533848678151,239.78560881099048,Rice
103,52,43,27.37018804563266,82.47900408594504,6.015636406741194,213.87211845650955,Rice
80,51,42,25.04417693698882,92.23192142682251,6.706857343847617,238.320573443279,Rice
112,44,44,27.86772582835418,81.73803589287695,6.863103425875593,229.86385014620464,Rice
113,40,41,27.487858573725298,84.8777498304012,6.729606178338064,231.00459770841707,Rice
106,42,35,28.063414998030318,94.57568143083655,6.848913824266084,237.73836169318986,Rice
93,46,43,30.6853031174863,81.66336231217747,6.43933650186577,196.1375361868317,Rice
111,46,35,27.514847848610614,87.62856036747054,6.907566473926093,199.94337833191,Rice
94,50,38,32.542828564463846,88.98298199732804,6.6947849330397045,250.43742712122062,Rice
85,51,38,32.140471987919824,88.09013362873476,6.807440155164063,251.68730399387945,Rice
118,40,35,26.823481300335533,86.40661682939384,6.818014765922493,248.85844666050747,Rice
118,45,42,29.272715355003534,87.27244957038475,6.692436032890271,201.55298670388171,Rice
83,64,40,17.58562345616604,57.78185932615049,6.903018958895178,74.54518409517176,Wheat
76,69,41,17.014258366602913,57.458727588385784,6.50087830981677,71.3936197750987,Wheat
76,66,31,19.021432185830893,50.77218126874984,6.478646464236611,96.33063543866615,Wheat
78,51,34,18.915622082220505,64.78475681165901,6.4420552715115,86.88542189623514,Wheat
70,66,44,21.425118051039167,57.05450951669057,7.183423140894843,75.95297769778212,Wheat
75,65,30,16.205740351723435,57.62298165111078,6.895812806790882,94.33435219254879,Wheat
87,53,32,20.689196259504143,62.14251569209573,6.54866598729173,63.847062043656834,Wheat
68,50,37,18.0938827704043,64.05094983105101,6.337520944145993,73.64265404201034,Wheat
